Projeto,Escola/Site,Tipo,Modelo,Dispositivo,MAC,Status,Mbps
SEDUC,43005047 - EEIEF FUN KA AGUY MIRI,📡 AP,NWA55AXE,AP OUTDOOR,B8:EC:A3:E1:7E:8B,ONLINE,15.0
SEDUC,43005047 - EEIEF FUN KA AGUY MIRI,🛡️ Firewall,USG FLEX 200,FIREWALL ,F4:4D:5C:9B:4B:5D,ONLINE,15.0
SEDUC,43130283 - EEEF JOSE PEREIRA DA ROCHA,🛡️ Firewall,USG FLEX 200,Firewall,70:49:A2:07:D8:6E,ONLINE,15.0
SEDUC,43130283 - EEEF JOSE PEREIRA DA ROCHA,📡 AP,WAX610D,AP 02,70:49:A2:01:D3:51,ONLINE,15.0
SEDUC,43130283 - EEEF JOSE PEREIRA DA ROCHA,📡 AP,NWA55AXE,AP OUTDOOR,D4:3D:F3:FF:38:59,ONLINE,15.0
SEDUC,43130283 - EEEF JOSE PEREIRA DA ROCHA,📡 AP,WAX610D,AP 04,70:49:A2:01:D5:55,ONLINE,15.0
SEDUC,43130283 - EEEF JOSE PEREIRA DA ROCHA,📡 AP,WAX610D,AP 01,70:49:A2:01:D9:E1,ONLINE,15.0
SEDUC,43130283 - EEEF JOSE PEREIRA DA ROCHA,📡 AP,WAX610D,AP 03,70:49:A2:01:D6:C9,ONLINE,15.0
SEDUC,43130283 - EEEF JOSE PEREIRA DA ROCHA,🔌 Switch,GS2220-28HP,Switch,FC:22:F4:DC:A6:12,ONLINE,15.0
SEDUC,43156169 - EEEF JOSE ANTONIO ROLIM,📡 AP,NWA55AXE,AP OUTDOOR,D4:3D:F3:FF:35:47,ONLINE,15.0
SEDUC,43156169 - EEEF JOSE ANTONIO ROLIM,📡 AP,WAX610D,AP 01,70:49:A2:01:D9:49,ONLINE,15.0
SEDUC,43156169 - EEEF JOSE ANTONIO ROLIM,📡 AP,WAX610D,AP 03,70:49:A2:01:D5:ED,ONLINE,15.0
SEDUC,43156169 - EEEF JOSE ANTONIO ROLIM,🛡️ Firewall,USG FLEX 200,Firewall,70:49:A2:07:D8:7C,ONLINE,15.0
SEDUC,43156169 - EEEF JOSE ANTONIO ROLIM,📡 AP,WAX610D,AP 02,70:49:A2:01:D7:E9,ONLINE,15.0
SEDUC,43156193 - EEEF NOSSA SENHORA APARECIDA,📡 AP,NWA55AXE,AP OUTDOOR,D4:3D:F3:FF:35:3E,ONLINE,15.0
SEDUC,43156193 - EEEF NOSSA SENHORA APARECIDA,📡 AP,WAX610D,AP 02,70:49:A2:01:D8:A9,ONLINE,15.0
SEDUC,43156193 - EEEF NOSSA SENHORA APARECIDA,🛡️ Firewall,USG FLEX 200,Firewall,70:49:A2:07:D4:07,ONLINE,15.0
SEDUC,43156193 - EEEF NOSSA SENHORA APARECIDA,📡 AP,WAX610D,AP 01,70:49:A2:01:D8:9D,ONLINE,15.0
SEDUC,43156193 - EEEF NOSSA SENHORA APARECIDA,📡 AP,WAX610D,AP 03,70:49:A2:01:D5:E1,ONLINE,15.0
SEDUC,43156878 - EEEF DOM JOSE BAREA,📡 AP,WAX610D,AP 06,70:49:A2:01:D2:71,ONLINE,15.0
SEDUC,43156878 - EEEF DOM JOSE BAREA,📡 AP,WAX610D,AP 01,70:49:A2:01:D7:0D,ONLINE,15.0
SEDUC,43156878 - EEEF DOM JOSE BAREA,📡 AP,WAX610D,AP 02,70:49:A2:01:D0:61,ONLINE,15.0
SEDUC,43156878 - EEEF DOM JOSE BAREA,🛡️ Firewall,USG FLEX 200,Firewall,70:49:A2:07:D4:62,ONLINE,15.0
SEDUC,43156878 - EEEF DOM JOSE BAREA,📡 AP,WAX610D,AP 07,70:49:A2:01:D1:45,ONLINE,15.0
SEDUC,43156878 - EEEF DOM JOSE BAREA,📡 AP,WAX610D,AP 03,70:49:A2:01:D5:B5,ONLINE,15.0
SEDUC,43156878 - EEEF DOM JOSE BAREA,📡 AP,WAX610D,AP 04,70:49:A2:01:D4:2D,ONLINE,15.0
SEDUC,43156878 - EEEF DOM JOSE BAREA,📡 AP,WAX610D,AP 08,70:49:A2:01:D2:05,ONLINE,15.0
SEDUC,43156878 - EEEF DOM JOSE BAREA,📡 AP,NWA55AXE,AP OUTDOOR,D4:3D:F3:FF:35:41,ONLINE,15.0
SEDUC,43156878 - EEEF DOM JOSE BAREA,📡 AP,WAX610D,AP 05,70:49:A2:01:CE:E5,ONLINE,15.0
SEDUC,43156878 - EEEF DOM JOSE BAREA,🔌 Switch,GS2220-28HP,Switch,FC:22:F4:DC:B8:78,ONLINE,15.0
SEDUC,43130348 - EEEF FELISBERTO LUIZ DE OLIVEIRA,📡 AP,WAX610D,AP 02,70:49:A2:01:D0:11,OFFLINE,0.0
SEDUC,43130348 - EEEF FELISBERTO LUIZ DE OLIVEIRA,📡 AP,WAX610D,AP 04,70:49:A2:01:D9:B1,OFFLINE,0.0
SEDUC,43130348 - EEEF FELISBERTO LUIZ DE OLIVEIRA,🛡️ Firewall,USG FLEX 200,Firewall,70:49:A2:07:D8:83,OFFLINE,0.0
SEDUC,43130348 - EEEF FELISBERTO LUIZ DE OLIVEIRA,📡 AP,WAX610D,AP 01,70:49:A2:01:D0:2D,OFFLINE,0.0
SEDUC,43130348 - EEEF FELISBERTO LUIZ DE OLIVEIRA,📡 AP,WAX610D,AP 03,70:49:A2:01:D8:09,OFFLINE,0.0
SEDUC,43130348 - EEEF FELISBERTO LUIZ DE OLIVEIRA,🔌 Switch,GS2220-28HP,Switch,FC:22:F4:DC:AE:A0,OFFLINE,0.0
SEDUC,43130348 - EEEF FELISBERTO LUIZ DE OLIVEIRA,📡 AP,WAX610D,AP 06,70:49:A2:01:D2:4D,OFFLINE,0.0
SEDUC,43130348 - EEEF FELISBERTO LUIZ DE OLIVEIRA,📡 AP,NWA55AXE,AP OUTDOOR,D4:3D:F3:FF:38:5C,OFFLINE,0.0
SEDUC,43130348 - EEEF FELISBERTO LUIZ DE OLIVEIRA,📡 AP,WAX610D,AP 05,70:49:A2:01:CF:39,OFFLINE,0.0
SEDUC,43001254 - EEIEF PINDO POTY,🛡️ Firewall,USG FLEX 200,Firewall,F4:4D:5C:A2:26:36,ONLINE,15.0
SEDUC,43001254 - EEIEF PINDO POTY,📡 AP,NWA55AXE,AP OUTDOOR,B8:EC:A3:E2:E4:C4,ONLINE,15.0
SEDUC,43106633 - EEEM PROF JULIO GRAU,📡 AP,WAX610D,AP08,F4:4D:5C:96:E7:A3,ONLINE,15.0
SEDUC,43106633 - EEEM PROF JULIO GRAU,🔌 Switch,GS2220-28HP,SWITCH JULIO GRAU,70:49:A2:00:8C:6D,ONLINE,15.0
SEDUC,43106633 - EEEM PROF JULIO GRAU,📡 AP,WAX610D,AP03,F4:4D:5C:97:51:83,ONLINE,15.0
SEDUC,43106633 - EEEM PROF JULIO GRAU,🛡️ Firewall,USG FLEX 200,FIREWALL JULIO GRAU,F4:4D:5C:9B:4F:CB,ONLINE,15.0
SEDUC,43106633 - EEEM PROF JULIO GRAU,📡 AP,WAX610D,AP06,F4:4D:5C:97:50:8F,ONLINE,15.0
SEDUC,43106633 - EEEM PROF JULIO GRAU,📡 AP,WAX610D,AP05,F4:4D:5C:97:4E:87,ONLINE,15.0
SEDUC,43106633 - EEEM PROF JULIO GRAU,📡 AP,WAX610D,AP09,F4:4D:5C:96:E7:87,ONLINE,15.0
SEDUC,43106633 - EEEM PROF JULIO GRAU,📡 AP,WAX610D,AP02,F4:4D:5C:97:4E:A7,ONLINE,15.0
SEDUC,43106633 - EEEM PROF JULIO GRAU,📡 AP,WAX610D,AP04,F4:4D:5C:97:4F:FB,ONLINE,15.0
SEDUC,43106633 - EEEM PROF JULIO GRAU,📡 AP,WAX610D,AP01,F4:4D:5C:97:4E:93,ONLINE,15.0
SEDUC,43106633 - EEEM PROF JULIO GRAU,📡 AP,WAX610D,AP07 - Direção,F4:4D:5C:96:E7:C3,ONLINE,15.0
SEDUC,43106633 - EEEM PROF JULIO GRAU,📡 AP,WAX610D,AP11,F4:4D:5C:97:4F:DF,ONLINE,15.0
SEDUC,43106633 - EEEM PROF JULIO GRAU,📡 AP,NWA55AXE,AP12 - OUTDOOR,B8:EC:A3:E1:7F:E1,ONLINE,15.0
SEDUC,43106633 - EEEM PROF JULIO GRAU,📡 AP,WAX610D,AP10,F4:4D:5C:96:EB:D7,ONLINE,15.0
SEDUC,43156223 - EEEF N SRA DA GLORIA,📡 AP,NWA55AXE,AP OUTDOOR,D4:3D:F3:FF:35:4D,ONLINE,15.0
SEDUC,43156223 - EEEF N SRA DA GLORIA,🔌 Switch,GS2220-28HP,Switch,FC:22:F4:DC:B7:4C,ONLINE,15.0
SEDUC,43156223 - EEEF N SRA DA GLORIA,📡 AP,WAX610D,AP 04,70:49:A2:01:D0:55,ONLINE,15.0
SEDUC,43156223 - EEEF N SRA DA GLORIA,📡 AP,WAX610D,AP 01,70:49:A2:01:D1:1D,ONLINE,15.0
SEDUC,43156223 - EEEF N SRA DA GLORIA,📡 AP,WAX610D,AP 05,70:49:A2:01:D8:7D,ONLINE,15.0
SEDUC,43156223 - EEEF N SRA DA GLORIA,📡 AP,WAX610D,AP 02,70:49:A2:01:D6:1D,ONLINE,15.0
SEDUC,43156223 - EEEF N SRA DA GLORIA,🛡️ Firewall,USG FLEX 200,Firewall,F4:4D:5C:A2:26:BB,ONLINE,15.0
SEDUC,43156223 - EEEF N SRA DA GLORIA,📡 AP,WAX610D,AP 06,70:49:A2:01:D8:D5,ONLINE,15.0
SEDUC,43208410 - EEIEF ANHETENGUA,📡 AP,WAX610D,AP 07,70:49:A2:01:D0:99,ONLINE,15.0
SEDUC,43208410 - EEIEF ANHETENGUA,📡 AP,WAX610D,AP 05,70:49:A2:01:D3:9D,ONLINE,15.0
SEDUC,43208410 - EEIEF ANHETENGUA,🛡️ Firewall,USG FLEX 200,Firewall,F4:4D:5C:A2:1A:7B,ONLINE,15.0
SEDUC,43208410 - EEIEF ANHETENGUA,📡 AP,WAX610D,AP 06,70:49:A2:01:D7:D5,ONLINE,15.0
SEDUC,43208410 - EEIEF ANHETENGUA,🔌 Switch,GS2220-28HP,Switch,FC:22:F4:D7:6F:9B,ONLINE,15.0
SEDUC,43208410 - EEIEF ANHETENGUA,📡 AP,NWA55AXE,AP OUTDOOR,B8:EC:A3:E2:E4:C7,ONLINE,15.0
SEDUC,43208410 - EEIEF ANHETENGUA,📡 AP,WAX610D,AP 01,70:49:A2:01:D7:F1,ONLINE,15.0
SEDUC,43208410 - EEIEF ANHETENGUA,📡 AP,WAX610D,AP 02,70:49:A2:01:D6:29,ONLINE,15.0
SEDUC,43208410 - EEIEF ANHETENGUA,📡 AP,WAX610D,AP 03,70:49:A2:01:D3:39,ONLINE,15.0
SEDUC,43208410 - EEIEF ANHETENGUA,📡 AP,WAX610D,AP 04,70:49:A2:01:D9:C1,ONLINE,15.0
SEDUC,43208428 - EEIEF FAG NHIN,📡 AP,NWA55AXE,AP OUTDOOR,B8:EC:A3:E2:CF:4C,ONLINE,15.0
SEDUC,43208428 - EEIEF FAG NHIN,🛡️ Firewall,USG FLEX 200,Firewall,F4:4D:5C:A2:1B:23,ONLINE,15.0
SEDUC,43208428 - EEIEF FAG NHIN,📡 AP,WAX610D,AP 03,F4:4D:5C:9F:80:B8,ONLINE,15.0
SEDUC,43208428 - EEIEF FAG NHIN,📡 AP,WAX610D,AP 01,F4:4D:5C:9F:7B:90,ONLINE,15.0
SEDUC,43208428 - EEIEF FAG NHIN,📡 AP,WAX610D,AP 02,F4:4D:5C:9F:80:50,ONLINE,15.0
SEDUC,43159958 - EEEF EURICO ALTAIR DA MOTTA,📡 AP,WAX610D,AP 01,F4:4D:5C:9F:83:14,ONLINE,15.0
SEDUC,43159958 - EEEF EURICO ALTAIR DA MOTTA,📡 AP,WAX610D,AP 04,F4:4D:5C:96:EC:4B,ONLINE,15.0
SEDUC,43159958 - EEEF EURICO ALTAIR DA MOTTA,📡 AP,WAX610D,AP 03,F4:4D:5C:9F:83:0C,ONLINE,15.0
SEDUC,43159958 - EEEF EURICO ALTAIR DA MOTTA,📡 AP,NWA55AXE,AP OUTDOOR,D4:3D:F3:FF:37:CF,ONLINE,15.0
SEDUC,43159958 - EEEF EURICO ALTAIR DA MOTTA,📡 AP,WAX610D,AP 02,F4:4D:5C:9F:77:88,ONLINE,15.0
SEDUC,43159958 - EEEF EURICO ALTAIR DA MOTTA,🛡️ Firewall,USG FLEX 200,Firewall,F4:4D:5C:94:74:77,ONLINE,15.0
SEDUC,43159958 - EEEF EURICO ALTAIR DA MOTTA,🔌 Switch,GS2220-28HP,Switch,FC:22:F4:DC:A2:CA,ONLINE,15.0
SEDUC,43130585 - EEEM PROFESSOR CANDIDO DE BARROS,🛡️ Firewall,USG FLEX 200,Firewall,70:49:A2:07:E2:E7,ONLINE,15.0
SEDUC,43130585 - EEEM PROFESSOR CANDIDO DE BARROS,📡 AP,WAX610D,AP 07,70:49:A2:01:D4:4D,ONLINE,15.0
SEDUC,43130585 - EEEM PROFESSOR CANDIDO DE BARROS,📡 AP,WAX610D,AP 05,70:49:A2:01:D9:45,ONLINE,15.0
